,words,ner,task
110,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '341', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '277', '[', 'K000320', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'М', '.', '27', 'лет', 'обратился', 'к', 'врачу-терапевту', 'участковому', 'на', '2', 'день', 'болезни', 'с', 'жалобами', 'на', 'сильную', 'головную', 'боль', 'в', 'лобной', 'области', ',', 'боли', 'в', 'глазных', 'яблоках', ',', 'мышцах', 'и', 'суставах', ',', 'общую', 'слабость', ',', 'отсутствие', 'аппетита', ',', 'частый', 'сухой', 'кашель', ',', 'заложенность', 'носа', 'и', 'незначительные', 'выделения', 'из', 'носа', ',', 'чувство', 'першения', 'и', 'царапанье', 'за', 'грудиной', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",277
111,"['Анамнез', 'заболевания', ':', 'заболел', '15.01', '.', 'в', 'первой', 'половине', 'дня', ',', 'когда', 'почувствовал', 'озноб', ',', 'повысилась', 'температура', 'до', '39,0', '°', 'С', ',', 'появилась', 'головная', 'боль', 'в', 'области', 'лба', ',', 'боль', 'при', 'движении', 'глазными', 'яблоками', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",277
112,"['Ночью', 'не', 'спал', ',', 'озноб', 'сменялся', 'чувством', 'жара', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O']",277
113,"['На', 'следующий', 'день', 'появился', 'сухой', 'кашель', ',', 'заложенность', 'носа', ',', 'чувство', 'першения', 'за', 'грудиной', ',', 'температура', 'повысилась', 'до', '39,5', '°', 'С', ',', 'головная', 'боль', 'усилилась', '.']","['O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",277
114,"['Эпидемиологический', 'анамнез', ':', 'за', '2', 'дня', 'до', 'заболевания', 'навещал', 'друзей', 'в', 'общежитии', ',', 'среди', 'которых', 'были', 'лица', 'с', 'подобными', 'симптомами', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
115,"['Объективно', ':', 'состояние', 'средней', 'степени', 'тяжести', ',', 'сознание', 'ясное', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PHY-START', 'PHY', 'O']",277
116,"['Лицо', 'одутловатое', ',', 'несколько', 'гиперемировано', '.']","['PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O']",277
117,"['На', 'теле', 'сыпи', 'нет', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'O']",277
118,"['Носовое', 'дыхание', 'затруднено', '.']","['PAT-START', 'PAT', 'PAT', 'O']",277
119,"['В', 'зеве', 'разлитая', 'яркая', 'гиперемия', 'задней', 'стенки', 'глотки', 'и', 'еѐ', 'зернистость', ',', 'отмечаются', 'единичные', 'кровоизлияния', 'на', 'слизистой', 'мягкого', 'нѐба', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",277
120,"['В', 'лѐгких', '–', 'жѐсткое', 'дыхание', ',', 'единичные', 'сухие', 'хрипы', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",277
121,"['Пульс', '–', '102', 'уд', '/', 'мин', ',', 'ритмичный', ',', 'АД', '–', '115', '/', '80', 'мм', 'рт.ст', '.', 'Тоны', 'сердца', 'приглушены', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY-START', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PAT-START', 'PAT', 'PAT', 'O']",277
122,"['Живот', 'мягкий', ',', 'безболезненный', '.']","['PHY-START', 'PHY', 'O', 'PHY-START', 'O']",277
123,"['Печень', 'и', 'селезѐнка', 'не', 'увеличены', '.']","['PHY-START', 'O', 'PHY-START', 'PHY', 'PHY', 'O']",277
124,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",277
125,"['Предположите', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",277
126,"['2', '.', 'Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",277
127,"['3', '.', 'Составьте', 'план', 'лабораторного', 'обследования', 'больного', 'для', 'верификации', 'диагноза', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
128,"['4', '.', 'Какие', 'противовирусные', 'препараты', 'Вы', 'бы', 'рекомендовали', 'пациенту', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
129,"['Назовите', 'механизм', 'их', 'действия', 'на', 'вирусы', 'гриппа', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
130,"['Обоснуйте', 'свой', 'выбор', '.']","['O', 'O', 'O', 'O']",277
131,"['5', '.', 'Кто', 'подлежит', 'обязательной', 'вакцинации', 'против', 'гриппа', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
132,"['Назовите', 'современные', 'вакцины', 'для', 'профилактики', 'гриппа', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",277
269,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '349', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '285', '[', 'K000354', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', '32', 'лет', 'приехал', 'из', 'Узбекистана', '7', 'дней', 'назад', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",285
270,"['Заболевание', 'началось', 'с', 'повышения', 'температуры', 'до', '38', '°', 'С', ',', 'слабости', ',', 'снижения', 'аппетита', '.']","['O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'O']",285
271,"['В', 'течение', '5', 'дней', 'температура', 'утром', '38', '°', 'С', ',', 'вечером', '39', '°', 'С', ',', 'нарастала', 'головная', 'боль', ',', 'слабость', ',', 'исчез', 'аппетит', ',', 'задержка', 'стула', ',', 'бессонница', '.']","['O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'O']",285
272,"['При', 'осмотре', 'врачом-терапевтом', 'участковым', 'на', '7', 'день', 'болезни', '–', 'состояние', 'средней', 'тяжести', ',', 'температура', '38,4', '°', 'С', ',', 'вялый', ',', 'адинамичный', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'O']",285
273,"['Кожа', 'бледная', ',', 'сухая', ',', 'на', 'коже', 'живота', 'выявлена', 'розеолезная', 'единичная', 'сыпь', '.']","['PAT-START', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",285
274,"['В', 'лѐгких', 'без', 'патологии', '.']","['O', 'O', 'PHY-START', 'PHY', 'O']",285
275,"['Тоны', 'сердца', 'приглушены', ',', 'АД', '–', '90', '/', '60', 'мм', 'рт.ст', '.', ',', 'Пульс', '–', '78', 'уд', '/', 'мин', '.']","['PAT-START', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",285
276,"['Язык', 'обложен', 'густым', 'серым', 'налѐтом', 'у', 'корня', ',', 'на', 'боковых', 'поверхностях', 'отпечатки', 'зубов', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",285
277,"['Живот', 'вздут', ',', 'при', 'пальпации', 'мягкий', 'безболезненный', '.']","['PAT-START', 'PAT', 'O', 'O', 'O', 'PHY-START', 'PHY', 'O']",285
278,"['Пальпируются', 'печень', 'и', 'селезѐнка', '.']","['PAT-START', 'PAT', 'O', 'PAT-START', 'O']",285
279,"['Госпитализирован', '.']","['O', 'O']",285
280,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",285
281,"['Предположите', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",285
282,"['2', '.', 'Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",285
283,"['3', '.', 'Составьте', 'и', 'обоснуйте', 'план', 'лабораторной', 'диагностики', 'с', 'целью', 'подтверждения', 'диагноза', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",285
284,"['4', '.', 'Препараты', 'какой', 'группы', 'Вы', 'бы', 'назначили', 'пациенту', 'в', 'составе', 'комбинированной', 'этиотропной', 'терапии', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",285
285,"['Обоснуйте', 'свой', 'выбор', '.']","['O', 'O', 'O', 'O']",285
286,"['5', '.', 'Перечислите', 'патогенетически', 'обусловленные', 'и', 'опасные', 'осложнения', 'при', 'данном', 'заболевании', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",285
338,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '353', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '289', '[', 'K000386', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'Д', '.', '18', 'лет', 'обратился', 'в', 'поликлинику', 'на', '2', 'день', 'болезни', 'с', 'жалобами', 'на', 'заложенность', 'носа', ',', 'першение', 'в', 'горле', ',', 'слабость', ',', 'головокружение', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'O']",289
339,"['Накануне', 'утром', 'почувствовал', 'недомогание', ',', 'появились', 'неприятные', 'ощущения', 'в', 'горле', '.']","['O', 'O', 'O', 'PAT-START', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O']",289
340,"['Измерил', 'температуру', 'тела', '–', '37,6', '°', 'С', '.', 'На', 'следующий', 'день', 'продолжали', 'беспокоить', 'слабость', ',', 'разбитость', ',', 'боль', 'в', 'горле', ',', 'заложенность', 'носа', ',', 'появилась', 'головная', 'боль', ',', 'температура', 'выше', '37,8', '°', 'С', 'не', 'повышалась', '.']","['O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'O', 'PAT-START', 'PAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",289
341,"['Из', 'анамнеза', 'известно', ',', 'что', 'больной', '6', 'дней', 'назад', 'навещал', 'друга', ',', 'который', 'на', 'следующий', 'день', 'был', 'госпитализирован', 'в', 'тяжѐлом', 'состоянии', 'в', 'инфекционный', 'стационар', 'с', 'подозрением', 'на', 'менингит', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",289
342,"['При', 'осмотре', 'температура', 'тела', '37,5', '°', 'С', ',', 'общее', 'состояние', 'ближе', 'к', 'удовлетворительному', '.']","['O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",289
343,"['Кожа', 'нормальной', 'окраски', ',', 'без', 'сыпи', '.']","['PHY-START', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'O']",289
344,"['Выявлена', 'небольшая', 'гиперемия', 'и', 'сухость', 'мягкого', 'нѐба', ',', 'задней', 'стенки', 'глотки', ',', 'миндалины', 'увеличены', ',', 'несколько', 'отѐчны', ',', 'отмечается', 'гиперплазия', 'лимфоидных', 'фолликулов', '.']","['O', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",289
345,"['Симптомы', 'ригидности', 'затылочных', 'мышц', ',', 'Брудзинского', ',', 'Кернига', 'отрицательные', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'O', 'PHY-START', 'PHY', 'O']",289
346,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",289
347,"['Установите', 'предварительный', 'диагноз', 'на', 'основании', 'полученных', 'данных', 'с', 'учѐтом', 'синдромального', 'подхода', 'и', 'обоснуйте', 'его', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",289
348,"['2', '.', 'Дайте', 'этиологическую', 'характеристику', 'возбудителю', ',', 'предположительно', 'вызвавшему', 'заболевание', ',', 'назовите', 'источники', 'инфекции', 'и', 'пути', 'заражения', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",289
349,"['3', '.', 'Укажите', 'основные', 'методы', 'лабораторной', 'диагностики', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",289
350,"['4', '.', 'Назовите', 'заболевания', ',', 'с', 'которыми', 'необходимо', 'проводить', 'дифференциальную', 'диагностику', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",289
351,"['5', '.', 'Какова', 'будет', 'терапевтическая', 'тактика', 'на', 'этапе', 'оказания', 'амбулаторно', '-', 'поликлинической', 'помощи', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",289
